,province,dead
0,上海,7
1,云南,2
2,内蒙古,1
3,北京,9
4,台湾,850
5,吉林,3
6,四川,3
7,天津,3
8,宁夏,0
9,安徽,6
10,山东,7
11,山西,0
12,广东,8
13,广西,2
14,新疆,3
15,江苏,0
16,江西,1
17,河北,7
18,河南,22
19,浙江,1
20,海南,6
21,湖北,4512
22,湖南,4
23,澳门,0
24,甘肃,2
25,福建,1
26,西藏,0
27,贵州,2
28,辽宁,2
29,重庆,6
30,陕西,3
31,青海,0
32,香港,213
33,黑龙江,13
