,province,heal
0,上海,2858
1,云南,1677
2,内蒙古,777
3,北京,1180
4,台湾,13742
5,吉林,578
6,四川,1267
7,天津,520
8,宁夏,122
9,安徽,1002
10,山东,1002
11,山西,265
12,广东,3305
13,广西,325
14,新疆,978
15,江苏,1618
16,江西,958
17,河北,1447
18,河南,1578
19,浙江,1487
20,海南,184
21,湖北,63803
22,湖南,1195
23,澳门,77
24,甘肃,342
25,福建,1316
26,西藏,1
27,贵州,157
28,辽宁,771
29,重庆,602
30,陕西,706
31,青海,30
32,香港,12184
33,黑龙江,2004
