,province,confirm
0,上海,2980
1,云南,1785
2,内蒙古,1185
3,北京,1205
4,台湾,16826
5,吉林,588
6,四川,1302
7,天津,543
8,宁夏,122
9,安徽,1009
10,山东,1037
11,山西,265
12,广东,3394
13,广西,541
14,新疆,981
15,江苏,1622
16,江西,959
17,河北,1458
18,河南,1638
19,浙江,1998
20,海南,190
21,湖北,68316
22,湖南,1203
23,澳门,77
24,甘肃,354
25,福建,1345
26,西藏,1
27,贵州,159
28,辽宁,792
29,重庆,610
30,陕西,822
31,青海,30
32,香港,12541
33,黑龙江,2035
